ID;SKU;Producto Nombre;Marca;Línea / Variante;Presentación / Formato;Categoría;Subcategoría;Contenido Neto;Unidad;EAN / Código de Barras;Costo sin IVA;Costo con IVA;Precio de Venta
1;BEB-COC-REG-354MLX;Coca-Cola Regular 354 ml;Coca-Cola;Regular;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 1.142,89;$ 1.382,90;$ 1.996,83
2;BEB-COC-REG-354MLX-P6;Coca-Cola Regular 354ml Pack x6;Coca-Cola;Regular;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 1.116,54;$ 1.351,01;$ 1.943,88
3;BEB-COC-REG-354MLX-P12;Coca-Cola Regular 354ml Pack x12;Coca-Cola;Regular;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 420,80;$ 509,17;$ 917,18
4;BEB-COC-REG-473MLX;Coca-Cola Regular 473 ml;Coca-Cola;Regular;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 531,32;$ 642,90;$ 1.044,29
5;BEB-COC-REG-473MLX-P6;Coca-Cola Regular 473ml Pack x6;Coca-Cola;Regular;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 1.133,78;$ 1.371,87;$ 2.107,81
6;BEB-COC-REG-473MLX-P12;Coca-Cola Regular 473ml Pack x12;Coca-Cola;Regular;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 842,23;$ 1.019,10;$ 1.893,01
7;BEB-COC-REG-500MLX;Coca-Cola Regular 500 ml;Coca-Cola;Regular;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 260,05;$ 314,66;$ 504,35
8;BEB-COC-REG-600MLX;Coca-Cola Regular 600 ml;Coca-Cola;Regular;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 1.113,21;$ 1.346,98;$ 1.994,42
9;BEB-COC-REG-125LXX;Coca-Cola Regular 1.25 L;Coca-Cola;Regular;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 1.035,89;$ 1.253,43;$ 2.354,58
10;BEB-COC-REG-15LXX;Coca-Cola Regular 1.5 L;Coca-Cola;Regular;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 875,59;$ 1.059,46;$ 1.838,61
11;BEB-COC-REG-2LXX;Coca-Cola Regular 2 L;Coca-Cola;Regular;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 1.001,29;$ 1.211,56;$ 1.987,15
12;BEB-COC-REG-225LXX;Coca-Cola Regular 2.25 L;Coca-Cola;Regular;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 900,94;$ 1.090,14;$ 1.555,45
